edition,year,language,category,country_or_chapter,title,url,filename,status,size_bytes,size_mb,scraped_at
Atlas 2016,2016,ENG,País,Venezuela,Atlas 2016 ENG – Venezuela,https://www.resdal.org/ing/assets/atlas_2016_ing_26.pdf,atlas_2016_ing_26.pdf,200,1880397,1.79,2026-06-03T20:10:15.138855Z
Atlas 2016,2016,ENG,Presentación,Presentation,Atlas 2016 ENG – Presentation,https://www.resdal.org/ing/assets/atlas_2016_ing_00.pdf,atlas_2016_ing_00.pdf,200,707054,0.67,2026-06-03T20:10:18.922602Z
Atlas 2014,2014,ENG,Completo,Completo,Atlas 2014 ENG – Full version,https://www.resdal.org/ing/assets/resdal-2014_complete2.pdf,resdal-2014_complete2.pdf,200,53195313,50.73,2026-06-03T20:11:34.454151Z
Atlas 2014,2014,ENG,Capítulo,The Latin American Region,Atlas 2014 ENG – The Latin American Region,https://www.resdal.org/ing/assets/atlas-2014-chapter_00_theregion2.pdf,atlas-2014-chapter_00_theregion2.pdf,200,933698,0.89,2026-06-03T20:11:35.646586Z
Atlas 2014,2014,ENG,Capítulo,The Legal Framework,Atlas 2014 ENG – Ch.1 The Legal Framework,https://www.resdal.org/ing/assets/atlas-2014-chapter_01_thelegalframework2.pdf,atlas-2014-chapter_01_thelegalframework2.pdf,200,375645,0.36,2026-06-03T20:11:36.628960Z
Atlas 2014,2014,ENG,Capítulo,The Institutions,Atlas 2014 ENG – Ch.2 The Institutions,https://www.resdal.org/ing/assets/atlas-2014-chapter_02_theinstitutions2.pdf,atlas-2014-chapter_02_theinstitutions2.pdf,200,756655,0.72,2026-06-03T20:11:37.720690Z
Atlas 2014,2014,ENG,Capítulo,The Budgets,Atlas 2014 ENG – Ch.3 The Budgets,https://www.resdal.org/ing/assets/atlas-2014-chapter_03_thebudgets2.pdf,atlas-2014-chapter_03_thebudgets2.pdf,200,150848,0.14,2026-06-03T20:11:38.502854Z
Atlas 2014,2014,ENG,Capítulo,Political Definitions,Atlas 2014 ENG – Ch.4 Political Definitions,https://www.resdal.org/ing/assets/atlas-2014-chapter_04_politicaldefinitions2.pdf,atlas-2014-chapter_04_politicaldefinitions2.pdf,200,1043377,1.0,2026-06-03T20:11:39.767705Z
Atlas 2014,2014,ENG,Capítulo,Hemispheric Relations,Atlas 2014 ENG – Ch.5 Hemispheric Relations,https://www.resdal.org/ing/assets/atlas-2014-chapter_05_hemisphericrelations2.pdf,atlas-2014-chapter_05_hemisphericrelations2.pdf,200,2441555,2.33,2026-06-03T20:11:41.745957Z
Atlas 2014,2014,ENG,Capítulo,Education,Atlas 2014 ENG – Ch.6 Education,https://www.resdal.org/ing/assets/atlas-2014-chapter_06_education2.pdf,atlas-2014-chapter_06_education2.pdf,200,673257,0.64,2026-06-03T20:11:42.873659Z
