numero,titulo,year,idioma,url,filename,status,size_bytes,size_mb,scraped_at
31,31 Informe Semestral,2021,ESP,https://www.mapp-oea.org/wp-content/uploads/2021/12/Informe-Semestral-XXXI-MAPPOEA.pdf,Informe-Semestral-XXXI-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:48:17.515198Z
30,30 Informe Semestral,2021,ENG,https://www.mapp-oea.org/wp-content/uploads/2021/06/Informe-Semestral-XXX-MAPPOEA-ENG.pdf,Informe-Semestral-XXX-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:20.746903Z
30,30 Informe Semestral,2021,ESP,https://www.mapp-oea.org/wp-content/uploads/2021/06/Informe-Semestral-XXX-MAPPOEA.pdf,Informe-Semestral-XXX-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:48:24.071368Z
29,29 Informe Semestral,2020,ENG,https://www.mapp-oea.org/wp-content/uploads/2020/12/Informe-Semestral-XXIX-MAPPOEA-ENG.pdf,Informe-Semestral-XXIX-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:27.553984Z
29,29 Informe Semestral,2020,ESP,https://www.mapp-oea.org/wp-content/uploads/2020/12/Informe-Semestral-XXIX-MAPPOEA.pdf,Informe-Semestral-XXIX-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:48:31.333506Z
28,28 Informe Semestral,2020,ENG,https://www.mapp-oea.org/wp-content/uploads/2020/07/Informe-Semestral-XXVIII-MAPPOEA-ENG.pdf,Informe-Semestral-XXVIII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:34.312547Z
28,28 Informe Semestral,2020,ESP,https://www.mapp-oea.org/wp-content/uploads/2020/07/Informe-Semestral-XXVIII-MAPPOEA.pdf,Informe-Semestral-XXVIII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:48:38.097971Z
27,27 Informe Semestral,2019,ENG,https://www.mapp-oea.org/wp-content/uploads/2019/12/Informe-Semestral-XXVII-MAPPOEA-ENG.pdf,Informe-Semestral-XXVII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:48:41.970763Z
27,27 Informe Semestral,2019,ESP,https://www.mapp-oea.org/wp-content/uploads/2019/12/Informe-Semestral-XXVII-MAPPOEA.pdf,Informe-Semestral-XXVII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:48:47.091254Z
26,26 Informe Semestral,2019,ENG,https://www.mapp-oea.org/wp-content/uploads/2019/07/Informe-Semestral-XXVI-MAPPOEA-ENG.pdf,Informe-Semestral-XXVI-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:49:05.499639Z
26,26 Informe Semestral,2019,ESP,https://www.mapp-oea.org/wp-content/uploads/2019/07/Informe-Semestral-XXVI-MAPPOEA.pdf,Informe-Semestral-XXVI-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:49:21.396094Z
